Any,NombrePenats,PercentatgePenats,NombrePreventius,PercentatgePreventius,Total
2016,NA,NA,NA,NA,NA
2015,53930,87.5,7684,12.5,61614
2014,56422,86.8,8595,13.2,65017
2013,57473,86.1,9292,13.9,66765
2012,53948,78.6,10443,15.2,68597
2011,58324,82.8,12148,17.2,70472
2010,60092,81.3,13837,18.7,73929
2009,60499,79.5,15580,20.5,76079
2008,55709,75.8,17849,24.2,73558
2007,50963,76,16137,24,67100
2006,48956,76.5,15065,23.5,64021
2005,47334,77.5,13720,22.5,61054
2004,46263,77.9,13112,22.1,59375
2003,43820,78.1,12276,21.9,56096
2002,40072,77.2,11810,22.8,51882
2001,37430,78.7,10414,21.3,47571
2000,36004,79.8,9100,20.2,45104
1999,33403,75.6,10794,24.4,44197
1998,32931,74.2,11439,25.8,44370
1997,32501,76,10255,24,42756
1996,34926,78.8,9386,21.2,44312
1995,35642,78.9,9556,21.1,45198
1994,36433,75.6,11768,24.4,48201
